ECHINACEA COMPOSITUM S N,ASSOCIACAO HOMEOPATICAS,,,,
ECHINACEA ORIENT,FITOTERAPICO SIMPLES + IMUNOMODULADOR,,,,
ECHINACEA PURPUREA,FITOTERAPICO SIMPLES,,,,
ECHINACEA PURPUREA (L.) MOENCH,FITOTERAPICO SIMPLES,,,,
ECNAN,FITOTERAPICO SIMPLES,,,,
ECOFILM,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,,,,
ECOS,ANTITUSSIGENOS SIMPLES,DROPROPIZINA,,,
ECOXE,ANTINFLAMATORIOS ANTIREUMATICOS,ETORICOXIBE,,,
ECSOFREN,NEUROLEPTICOS,,,,
ECTRIM BALSAMICO,TRIMETOPRIMA EM ASSOCIACAO COM SULFAS,,,,
ECTRIN,TRIMETOPRIMA EM ASSOCIACAO COM SULFAS,,,,
EDADE,ANSIOLITICOS SIMPLES,,,,
EDARBI,ANTI-HIPERTENSIVOS,,,,
EDARBICLOR,ANTI-HIPERTENSIVOS,,,,
EDEX,PROSTAGLANDINAS,,,,
EDHANOL,ANTICONVULSIVANTES,,,,
EDICIN,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
EDISTRIDE,ANTIDIABETICOS,DAPAGLIFLOZINA,,,
EFALIZUMABE,IMUNOMODULADOR,,,,
EFAVIRENZ,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),,,,
EFAVIRENZ (PORT. 344/98 LISTA C 4),ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),,,,
EFEDERM,ANTISSEPTICO + EMOLIENTES E PROTETORES DA PELE E MUCOSAS,,,,
EFEDRIN,HIPERTENSOR,SULFATO DE EFEDRINA,,,
EFEROL,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
EFERVIT C,MONOVITAMINAS EXCETO VITAMINA K,,,,
EFEXOR,ANTIDEPRESSIVOS,,,,
EFFIENT,ANTIAGREGANTE PLAQUETARIO,CLORIDRATO DE PRASUGREL,,,
EFICENTUS,ANTIDEPRESSIVOS,,,,
EFOCETIL,ANALGESICOS NAO NARCOTICOS,,,,
EFOCLOR,ANTIDIABETICOS,,,,
EFOEXI,EXPECTORANTES SIMPLES,,,,
EFOHIDROX,ANTIACIDO,,,,
EFONIDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,,,,
EFONOLOL,BETABLOQUEADORES SIMPLES,,,,
EFOPIRONA,ANALGESICOS NAO NARCOTICOS,,,,
EFORTIL,VASOCONSTRITORES E HIPERTENSORES,,,,
EFOTIAZIDA,DIURETICOS,,,,
EFOTRIM,ANTINFECCIOSOS,,,,
EFRINALIN,VASOCONSTRITORES E HIPERTENSORES,,,,
EFURIX,OUTROS ANTINEOPLASICOS,,,,
EGURINEL,OUTROS AGENTES IMUNOSSUPRESSORES + PIFENIDONA,PIRFENIDONA,,,
EKSON,ANTIPARKINSONIANOS,CLORIDRATO DE BENSERAZIDA +  LEVODOPA,,,
ELAMAX,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,,,,
ELANI,ANTICONCEPCIONAIS,,,,
ELANI CICLO,ANTICONCEPCIONAIS,DROSPIRENONA +  ETINILESTRADIOL,,,
ELATIUM,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,,,,
ELCODRIX DC,ANALGESICOS,CAFEÍNA +  PARACETAMOL,,,
ELCOMETRINA,PROGESTAGENOS SIMPLES,,,,
ELDOQUIN,DESMELANIZANTES,HIDROQUINONA,,,
ELEBLOC,ANTIGLAUCOMATOSOS,,,,
ELEPARON,"COLAGOGOS, COLERETICOS E HEPATOPROTETORES",,,,
ELEPRIL,ANTIPARKINSONIANOS,,,,
ELETA,ANALGESICOS CONTRA ENXAQUECA,BROMIDRATO DE ELETRIPTANA,,,
ELEVIT,POLIVITAMINICOS COM MINERAIS,,,,
ELEVIT GERIATRICO,POLIVITAMINICOS COM MINERAIS,,,,
ELIDEL,ANTINFLAMATORIOS,,,,
ELIFORE,ANTIDEPRESSIVOS,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO,,,
ELIGARD,ANTINEOPLASICO,ACETATO DE LEUPRORRELINA,,,
ELIMIN,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,,,,
ELIQUIS,ANTITROMBOTICO,,,,
ELIXIR 914,PRODUTOS NATURAIS ASSOCIADOS,,,,
ELIXIR AMARGO TADDE,PRODUTOS NATURAIS ASSOCIADOS,,,,
ELIXIR CÓLICO,ANTIESPASMODICOS + FITOTERAPICO SIMPLES,ATROPA BELLADONNA L.,,,
ELIXIR DE BAICURU,PRODUTOS NATURAIS,,,,
ELIXIR DE CAJU E CHAPEU DE COURO,PRODUTOS NATURAIS ASSOCIADOS,,,,
ELIXIR DE CAROBA COMPOSTO,FITOTERAPICO COMPOSTO,,,,
ELIXIR DE GUARANÁ CEREBRAL FLORA DA ÍNDIA,PRODUTOS NATURAIS ASSOCIADOS,,,,
ELIXIR DE MARACUJÁ COMPOSTO FARMAERVAS,FITOTERAPICO COMPOSTO,,,,
"ELIXIR DE NOGUEIRA, SALSA, CAROBA COMPOSTO",FITOTERAPICOS ASSOCIADOS,,,,
ELIXIR DE SALSA CAROBA E CABACINHO,FITOTERAPICOS ASSOCIADOS,,,,
ELIXIR MADREVITA,ANTIESPASMODICOS,,,,
ELIXIR PAREGÓRICO CATARINENSE,ANTIESPASMODICOS,PAPAVER SOMNIFERUM L.,,,
ELIXIR SALSAMARIN,ANTINFLAMATORIOS + FITOTERAPICO SIMPLES,,,,
ELIXIR SANTA CLARA,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
ELIXIR SANTA ROSA,FITOTERAPICO COMPOSTO,,,,
ELIZIP,ANTICONVULSIVANTES,LEVETIRACETAM,,,
ELLURA,PRODUTOS PARA VIAS URINARIAS,,,,
ELMIRON,ANTITROMBOTICO,,,,
ELMITAN,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,,,,
ELOCOM,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,,,,
ELOCTATE,ANTI-HEMORRAGICOS,,,,
ELODIUS,ANTIRETROVIRAL,,,,
ELOFURAN,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,,,,
ELOMICINA,ANTINFECCIOSOS TOPICOS,,,,
ELONVA,HORMONIO GONADOTROFICO,,,,
ELOTIN,MEDICAMENTOS COM ACAO NO APARELHO AUDITIVO,CLORIDRATO DE LIDOCAINA +  SULFATO DE NEOMICINA +  SULFATO DE POLIMIXINA B +  FLUOCINOLONA ACETONIDA,,,
ELOXATIN,CITOSTATICOS ALQUILANTES,,,,
ELOZOK,FITOTERAPICO SIMPLES,,,,
ELPENZO,ANTILIPEMICOS,ROSUVASTATINA CÁLCICA,,,
ELPRAZOL,ANTIULCEROSOS,OMEPRAZOL,,,
ELPROLIX,ANTI-HEMORRAGICOS,,,,
ELSPAR,ENSIMAS ANTINEOPLASICAS,,,,
ELUM,ANSIOLITICOS SIMPLES,,,,
ELÔ,ANTICONCEPCIONAIS,,,,
EMADINE,MEDICAMENTOS COM ACAO NO APARELHO VISUAL,,,,
EMAH,ANTINEOPLASICO,EXEMESTANO,,,
EMAMA,MONOVITAMINAS EXCETO VITAMINA K,,,,
EMANZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,,,,
EMBONATO DE PIRVINIO,ANTIPARASITARIOS,,,,
EMEBRID,ANTIEMETICOS E ANTINAUSEANTES,,,,
EMEND,ANTIEMETICOS E ANTINAUSEANTES,,,,
EMEND INJETÁVEL,ANTIEMETICOS E ANTINAUSEANTES,FOSAPREPITANTO DIMEGLUMINA,,,
EMERGEST,ANTICONCEPCIONAIS,,,,
EMESTISON,ANTI-HISTAMINICOS SISTEMICOS,,,,
EMET,ANTIEMETICOS E ANTINAUSEANTES,,,,
EMETIC,ANTIEMETICOS E ANTINAUSEANTES,,,,
EMGALITY,OUTRAS PREPARAÇÕES ANTIENXAQUECA,GALCANEZUMABE,,,
EMIBAZET,ANTILIPEMICOS,EZETIMIBA,,,
EMIBAZET SINV,ANTILIPEMICOS,EZETIMIBA +  SINVASTATINA,,,
EMICILIN,PENICILINA DE AMPLO ESPECTRO,,,,
EMIDRAT,REIDRATANTES ORAIS,,,,
EMILY,ANTICONCEPCIONAIS,ACETATO DE CLORMADINONA +  ETINILESTRADIOL,,,
EMINIL TM,ANTIEMETICOS E ANTINAUSEANTES,,,,
EMISTATIN,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,,,,
EMISTIN,ANTI-HISTAMINICOS SISTEMICOS,ACETATO DE DEXAMETASONA +  DEXAMETASONA +  FUMARATO DE CLEMASTINA,,,
EMISTOP,ANTIEMETICOS E ANTINAUSEANTES,,,,
EMLA,ANESTESICOS LOCAIS,,,,
EMOCLOT DI,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,,,,
EMODERM,EMOLIENTES E PROTETORES DA PELE E MUCOSAS,,,,
EMPAK,ANTICONVULSIVANTES,GABAPENTINA,,,
EMPLASTRO,CURATIVOS MEDICAMENTOSOS,,,,
EMPLASTRO POROSO SABIÁ,ANALGESICOS + FITOTERAPICO SIMPLES,,,,
EMPROL XR,BETABLOQUEADORES SIMPLES,SUCCINATO DE METOPROLOL,,,
EMS EXPECTORANTE,BRONCODILATADORES,,,,
EMS-PRED,GLICOCORTICOIDES SISTEMICOS,FOSFATO SÓDICO DE PREDNISOLONA +  PREDNISOLONA,,,
EMSCORT,ANTIMICOTICOS PARA USO TOPICO,CETOCONAZOL +  DIPROPIONATO DE BETAMETASONA +  SULFATO DE NEOMICINA,,,
EMSEXPECTOR,EXPECTORANTES,,,,
EMSFEB EFE,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,CLORIDRATO DE PSEUDOEFEDRINA +  PARACETAMOL,,,
EMSGRIP,ANALGESICOS NAO NARCOTICOS,PARACETAMOL,,,
EMSGRIP CAF,ANALGESICOS NAO NARCOTICOS,CAFEÍNA +  PARACETAMOL,,,
EMTAZ,ANTINEOPLASICO,,,,
EMTHEXATE,ANTINEOPLASICO,,,,
EMULSAO DE LIPIDEOS P/ NUTRICAO PARENTERAL,NUTRIENTES PARENTERAIS,,,,
EMULSÃO SCOTT,POLIVITAMINICOS COM MINERAIS,COLECALCIFEROL +  ERGOCALCIFEROL +  FOSFATO DICÁLCICO +  FOSFATO MONOSSÓDICO +  HIPOFOSFITO DE SÓDIO +  PALMITATO DE RETINOL +  PALMITATO DE RETINOL + ERGOCALCIFEROL +  VITAMINA A +  VITAMINA D3 +  ÓLEO DE FÍGADO DE BACALHAU +  ÓLEO DE SOJA,,,
EMYCLAM,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,,,,
ENABLEX,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,,,,
ENACOR,ANTI-HIPERTENSIVOS,,,,
ENALABAL,ANTI-HIPERTENSIVOS SIMPLES,,,,
ENALAMED,ANTI-HIPERTENSIVOS,MALEATO DE ENALAPRIL,,,
ENALAP,ANTI-HIPERTENSIVOS,,,,
ENALAPRESS,ANTI-HIPERTENSIVOS SIMPLES,,,,
ENALAPRILATO,ANTI-HIPERTENSIVOS,,,,
ENALAPRON,ANTI-HIPERTENSIVOS,,,,
ENALATEC,ANTI-HIPERTENSIVOS,,,,
ENALIL,ANTI-HIPERTENSIVOS,,,,
ENALPRIN,ANTI-HIPERTENSIVOS SIMPLES,,,,
ENANTATO DE NORETISTERONA,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,,,,
ENANTATO DE NORETISTERONA + VALERATO DE ESTRADIOL,ANTICONCEPCIONAIS,ENANTATO DE NORETISTERONA +  VALERATO DE ESTRADIOL,,,
ENAPLEX,ANTI-HIPERTENSIVOS,MALEATO DE ENALAPRIL,,,
ENAPROTEC,ANTI-HIPERTENSIVOS,,,,
ENATEC,ANTI-HIPERTENSIVOS SIMPLES,,,,
ENATEC  F,ANTI-HIPERTENSIVOS,,,,
ENATIL,ANTI-HIPERTENSIVOS,,,,
ENATOM,ANTI-HIPERTENSIVOS,,,,
ENAVO ODT,ANTIEMETICOS E ANTINAUSEANTES,CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO,,,
ENAX,FITOTERAPICO SIMPLES,,,,
ENBONATO DE CLORFENOXAMINA,ANTIALERGICOS,,,,
ENBREL PFS,ANTINFLAMATORIOS,,,,
ENCRISE,HORMONIOS DA HIPOFISE,VASOPRESSINA SINTETICA,,,
ENDCOFF,ANTITUSSIGENOS,CITRATO DE SÓDIO +  CLORETO DE AMÔNIO +  CLORIDRATO DE DIFENIDRAMINA,,,
ENDOBULIN KIOVIG,IMUNOGLOBULINAS,,,,
ENDOBULIN S/D,IMUNOGLOBULINAS,,,,
ENDOCRIS,ANTISSEPTICO,,,,
ENDODIAL,PRODUTOS PARA HEMODIALISE,,,,
ENDODIAL - CPHD,PRODUTOS PARA HEMODIALISE,,,,
ENDOFER,ANTIANEMICOS SIMPLES,FERRIPOLIMALTOSE,,,
ENDOFOLIN,ANTIANEMICOS,,,,
ENDOGEL,REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL,,,,
ENDOLIPID,NUTRIENTES PARENTERAIS,,,,
ENDONIDAZOL,OUTROS ANTIBIOTICOS NAO CLASSIFICADOS NOS GRUPOS ANTERIORES,,,,
ENDONITOL,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,,,,
ENDORBITOL,OUTRAS SOL P/ REPOS  HIDROELETROLITICA E ALIM  PARENTERAL,,,,
ENDOREM,PRODUTOS PARA DIAGNOSTICO POR IMAGEM,,,,
ENDORUS,ANTIESPASMODICOS + FITOTERAPICO SIMPLES,,,,
ENDRONAX,SUPRESSORES DA REABSORCAO OSSEA,,,,
ENDROSTAN,SUPRESSORES DA REABSORCAO OSSEA,ALENDRONATO DE SÓDIO,,,
ENDROX,SUPRESSORES DA REABSORCAO OSSEA,,,,
ENEMA DE GLICERINA,ENEMAS,,,,
ENEMA JP,ENEMAS,FOSFATO DE SÓDIO DIBÁSICO HEPTAIDRATADO +  FOSFATO DE SÓDIO MONOBÁSICO MONOIDRATADO,,,
ENEMAPLEX,ENEMAS,,,,
ENEMIN,LAXANTES,LAURILSULFATO DE SÓDIO +  SORBITOL,,,
ENERGICLIN,VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS,,,,
ENERGIL C,MONOVITAMINAS EXCETO VITAMINA K,,,,
ENERGIL C AMINO,NEUROTONICO,,,,
ENERGIL ZINCO,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
ENERGIVIT,NEUROPSICOESTIMULANTES,,,,
ENERGOPLEX,OUTRAS SOL P/ REPOS  HIDROELETROLITICA E ALIM  PARENTERAL,,,,
ENERGRIP C,MONOVITAMINAS EXCETO VITAMINA K,ÁCIDO ASCÓRBICO,,,
ENERGYFLEX,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
ENERSENG,FITOTERAPICO SIMPLES,,,,
ENERVIT,POLIVITAMINICOS COM MINERAIS,,,,
ENERVITON,NEUROPSICOESTIMULANTES,,,,
ENFLURAN,ANESTESICOS GERAIS VOLATEIS E GASOSOS,ENFLURANO,,,
ENFLURANO (PORT 344/98 LISTA C1),ANESTESICOS GERAIS VOLATEIS E GASOSOS,,,,
ENFOL,ANTIANEMICOS,,,,
ENGOV,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,,,,
ENGRAN,GLICOCORTICOIDES SISTEMICOS,FOSFATO DISSÓDICO DE DEXAMETASONA,,,
ENGYSTOL,PRODUTOS HOMEOPATICOS,,,,
ENGYSTOL N,PRODUTOS HOMEOPATICOS,,,,
ENHERTU,ANTINEOPLASICO,TRASTUZUMABE DERUXTECANA,,,
ENJOY,ANALGESICOS CONTRA ENXAQUECA,,,,
ENO TABS FRUTAS SORTIDAS,ANTIACIDO,CARBONATO DE CÁLCIO,,,
ENOXIL,ANTICOAGULANTES,,,,
ENTACAPONA,ANTIPARKINSONIANOS,ENTACAPONA,,,
ENTAPARK,ANTIPARKINSONIANOS,,,,
ENTARKIN,ANTIPARKINSONIANOS,ENTACAPONA,,,
ENTERCAL,TRIMETOPRIMA EM ASSOCIACAO COM SULFAS,,,,
ENTEROFIGON,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,,,,
ENTEROFTAL,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,,,,
ENTEROLIDON,ANTIDIARREICOS-ASSOCIACOES MEDICAMENTOSAS,,,,
ENTEROSEC,ANTIDIARREICOS SIMPLES SEM ACAO ANTIMICROBIANA,,,,
ENTOCORT,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,,,,
ENTYVIO,IMUNOSUPRESSOR,VEDOLIZUMABE,,,
ENURAN,ANESTESICOS GERAIS VOLATEIS E GASOSOS,,,,
ENVID,VITAMINAS,ACETATO DE RACEALFATOCOFEROL +  ÁCIDO FÓLICO,,,
ENXAK,ANALGESICOS CONTRA ENXAQUECA,CAFEÍNA +  DIPIRONA +  MESILATO DE DI-HIDROERGOTAMINA,,,
ENXAMED,FITOTERAPICO SIMPLES,,,,
ENXAZIN,FITOTERAPICO SIMPLES,,,,
ENZICOBA,MONOVITAMINAS EXCETO VITAMINA K,,,,
ENZILOM,ANTIEMETICOS E ANTINAUSEANTES,,,,
EPACTIV B12,ANTIANEMICOS A BASE DE FERRO - ASSOCIACOES MEDICAMENTOSAS,,,,
EPAPHYTO,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,PEUMUS BOLDUS MOLINA,,,
EPAREMA,COLAGOGOS E COLERETICOS + FITOTERAPICO COMPOSTO,,,,
EPATIVAN,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,BETAÍNA +  CITRATO DE COLINA +  RACEMETIONINA,,,
EPATOCAR,FITOTERAPICO SIMPLES,,,,
EPATOZIN,DIGESTIVO ANTIMETICOS E ANTINAUSEANTES,,,,
EPELIN,ANTICONVULSIVANTES,,,,
EPENAC,ANTIALERGICOS TOPICOS,,,,
EPERZAN,ANTIDIABETICOS,,,,
EPHICAINA,ANESTESICOS GERAIS INJETAVEIS,,,,
EPHYNAL,MONOVITAMINAS EXCETO VITAMINA K,,,,
EPICITRIN,ANTINFECCIOSOS TOPICOS,,,,
EPIDONA,ANTICONVULSIVANTES,,,,
EPIFRIN,VASOCONSTRITORES E HIPERTENSORES,,,,
EPIKABI,VASOCONSTRITORES E HIPERTENSORES,HEMITARTARATO DE NOREPINEFRINA,,,
EPILENIL,ANTICONVULSIVANTES,VALPROATO DE SÓDIO +  ÁCIDO VALPRÓICO,,,
EPILEPTIL,ANTICONVULSIVANTES,CLONAZEPAM,,,
EPILERG,ANTI-HISTAMINICOS SISTEMICOS,,,,
EPINEFRINA,OUTROS PRODUTOS COM ACAO NO APARELHO CARDIOVASCULAR,,,,
EPIRRUBICINA,ANTIBIOTICOS ANTINEOPLASICOS,,,,
EPITEGEL,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,DEXPANTENOL,,,
EPITEZAN,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,,,,
EPIVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),,,,
EPIZETOL,ANTICONVULSIVANTES,,,,
EPOCLER,HEPATOPROTETORES E LIPOTROPICOS,,,,
EPOETINA ALFA (ERITROPOETINA HUMANA RECOMBINANTE),ANTIANEMICOS,,,,
EPONIM,OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES,ACETATO DE DESMOPRESSINA,,,
EPORATIO,ANTIANEMICOS,,,,
EPREX,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,ALFAEPOETINA,,,
EPYL,ANTICONVULSIVANTES,LAMOTRIGINA,,,
EPÉZ,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,CLORIDRATO DE DONEPEZILA,,,
EPÓSIDO,ANTINEOPLASICO,ETOPOSÍDEO,,,
EQUAVIT,FITOTERAPICO SIMPLES,,,,
EQUIFLORA,OUTROS COADJUVANTES DO TRATAMENTO DA DIARREIA,,,,
EQUILIBRISSE,ANSIOLITICOS SIMPLES,PASSIFLORA INCARNATA L.,,,
EQUILIBRIUM,FITOTERAPICO SIMPLES,,,,
EQUILID,NEUROLEPTICOS,,,,
EQUINACEA BIONATUS,FITOTERAPICO SIMPLES,,,,
EQUINACEA BRASMED,FITOTERAPICO SIMPLES,,,,
EQUINACEA FLORA MEDICINAL,FITOTERAPICO SIMPLES,,,,
EQUINÁCEA TIARAJU,FITOTERAPICO SIMPLES + IMUNOESTIMULANTES,,,,
EQUIPLEX  DEXAMETASONA,ANTINFLAMATORIOS,,,,
EQUIPLEX - AMINOFILINA,BRONCODILATADORES,,,,
EQUIPLEX - METRONIDAZOL,ANTINFECCIOSOS,,,,
EQUIPLEX CIMETIDINA,ANTIACIDOS E ANTIULCEROSOS,,,,
EQUIPRESS,ANTI-HIPERTENSIVOS,,,,
EQUISETUM ARVENSE L.,FITOTERAPICO SIMPLES,,,,
EQUITAM,VASODILATADORES,,,,
EQUITAN,FITOTERAPICO SIMPLES + VASODILATADORES,,,,
ERANFUL,AGENTES ANTINEOPLÁSICOS,FULVESTRANTO,,,
ERANZ,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,CLORIDRATO DE DONEPEZILA,,,
ERAVERM,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,,,,
ERBITUX,ANTINEOPLASICO,CETUXIMABE,,,
ERD,ANALGESICOS NAO NARCOTICOS,,,,
ERDOTIN,PRODUTO PARA O APARELHO RESPIRATORIO,,,,
EREGOR,VASODILATADORES,,,,
ERGOMEMOR,NEUROTONICO,,,,
ERGOMETRIN,OCITOCICOS NAO HORMONAIS,MALEATO DE METILERGOMETRINA,,,
ERGOTRATE,OCITOCICOS NAO HORMONAIS,,,,
ERIBEC,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ERIBIOTIC,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ERICLORAN,MACROLIDEOS,,,,
ERIFLOGIN,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ERIMICINA,MACROLIDEOS,,,,
ERITAX,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ERITICIN,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ERITOS,ANTITUSSIGENOS SIMPLES,,,,
ERITRAM,MACROLIDEOS,,,,
ERITREX,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ERITROCIM,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ERITROFAR PEDIATRICO,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ERITROKINE,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,,,,
ERITROMAX,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,ALFAEPOETINA,,,
ERITROMED,MACROLIDEOS,,,,
ERITROMICINA,MACROLIDEOS,,,,
ERITROMICINA (ESTOLATO),ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ERITROMICINA ESTOLATO,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ERITROPOETINA HUMANA RECOMBINANTE,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,,,,
ERITROPOIETINA,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,ALFAEPOETINA,,,
ERITROSIMA,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ERITROX,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ERITROXILIN,MACROLIDEOS,,,,
ERIVEDGE,ANTINEOPLASICO,VISMODEGIBE,,,
ERMICOTIZOL,ANTIMICOTICO,,,,
ERMOCETAMOL,ANALGESICOS NAO NARCOTICOS,,,,
ERMOCILINA,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ERMOFENICOL,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ERMOGINA,ANALGESICOS NAO NARCOTICOS,,,,
ERMONDERM,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,VALERATO DE BETAMETASONA,,,
ERMOPAN,ANTIESPASMODICOS,BROMETO DE N-BUTILESCOPOLAMINA,,,
ERMOSOLONA,ANTINFLAMATORIOS ANTIREUMATICOS,,,,
ERMOTIDINA,ANTIULCEROSOS,,,,
EROMYCIN,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
EROWGLIZ,ANTIDIABETICOS,,,,
EROXYM,ANTINEOPLASICO,PEMETREXEDE DISSÓDICO,,,
ERRADIC,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,,,,
ERSOPEN,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,,,,
ERTAPENÉM SÓDICO,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ERVA CIDREIRA KLEIN,ANTIESPASMODICOS + FITOTERAPICO SIMPLES,,,,
ERVA DE SANTA LUZIA COMPOSTO CIBECOL,FITOTERAPICOS ASSOCIADOS,,,,
ERVA DE SÃO JOÃO,FITOTERAPICO SIMPLES,,,,
ERVA DE SÃO JOÃO ORIENT,ANTIDEPRESSIVOS + FITOTERAPICO SIMPLES,,,,
ERVA SILVINA COMPOSTA,FITOTERAPICO COMPOSTO,,,,
ERYACNEN,PRODUTOS ANTI-ACNE,,,,
ERYSIDORON-1,MEDICAMENTOS DINAMIZADOS COMPOSTOS,APIS MELLIFICA +  ATROPA BELLADONNA,,,
ERYTROZIN,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ESALERG,ANTI-HISTAMINICOS SISTEMICOS,DESLORATADINA,,,
ESALERG D12,ANTI-HISTAMINICOS SISTEMICOS,DESLORATADINA +  SULFATO DE PSEUDOEFEDRINA,,,
ESALERG GOTAS,ANTI-HISTAMINICOS SISTEMICOS,DESLORATADINA,,,
ESBELIN,DIURETICOS + FITOTERAPICO SIMPLES,,,,
ESBELTRAT,PRODUTOS HOMEOPATICOS,,,,
ESC,ANTIDEPRESSIVOS,OXALATO DE ESCITALOPRAM,,,
ESC ODT,ANTIDEPRESSIVOS,OXALATO DE ESCITALOPRAM,,,
ESCAB-IFAL,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,BENZOATO DE BENZILA,,,
ESCABIN,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,,,,
ESCABIOSAN,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,,,,
ESCABIPOLAN,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,,,,
ESCABRON,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,,,,
ESCENA,ANTIDEPRESSIVOS,OXALATO DE ESCITALOPRAM,,,
ESCILEX,ANTIDEPRESSIVOS,,,,
ESCINA + POLISSULFATO DE ESCINA SÓDICA + SALICILATO DE DIETILAMÔNIO,ANTIVARICOSOS TOPICOS,ESCINA +  POLISSULFATO DE ESCINA SÓDICA +  SALICILATO DE DIETILAMÔNIO,,,
ESCIP,ANTIDEPRESSIVOS,OXALATO DE ESCITALOPRAM,,,
ESCITAN,VASODILATADORES,,,,
ESCLEROVITAN,POLIVITAMINICOS SEM MINERAIS,,,,
ESCLEROVITAN PL,POLIVITAMINICOS SEM MINERAIS,,,,
ESCOPEN COMPOSTO,ANTIESPASMODICOS,BUTIL BROMETO DE ESCOPOLAMINA +  DIPIRONA MONOIDRATADA,,,
ESDEPALETRINA + BUTOXIDO DE PIPERONILA,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,,,,
